date,symbol,side,shares,price
2024-06-10,PM,buy,219.35316566350156,95.82959747314452
2024-06-10,MO,buy,521.2397910683098,40.16670608520508
2024-06-17,SLB,sell,491.2379879531914,41.50662612915039
2024-06-17,NVDA,sell,172.69388808879935,130.9168701171875
2024-06-17,SHOP,sell,333.6061915559476,66.5199966430664
2024-06-17,PM,sell,219.35316566350156,94.3230209350586
2024-06-17,MO,sell,521.2397910683098,39.465545654296875
2024-06-17,XOM,buy,208.39386769334212,102.16300964355467
2024-06-17,UNP,buy,100.08027993151364,212.7306671142578
2024-06-17,CRM,buy,93.60697427951428,227.44186401367188
2024-06-17,BA,buy,119.34606641434847,178.38999938964844
2024-06-17,COP,buy,204.5129854943923,103.58142852783205
2024-06-25,XOM,sell,208.39386769334212,107.82930755615234
2024-06-25,UNP,sell,100.08027993151364,215.30593872070312
2024-06-25,CRM,sell,93.60697427951428,238.5731658935547
2024-06-25,BA,sell,119.34606641434847,175.10000610351562
2024-06-25,COP,sell,204.5129854943923,108.7349624633789
2024-06-25,AVGO,buy,140.90296211630238,155.40647888183594
2024-06-25,ADBE,buy,41.56019018293474,526.8800048828125
2024-06-25,ORCL,buy,160.69506590835627,136.2657470703125
2024-06-25,PYPL,buy,371.04845407186144,59.01448440551758
2024-06-25,TGT,buy,158.93975731855994,137.08213806152344
2024-07-02,AVGO,sell,140.90296211630238,162.9458465576172
2024-07-02,ADBE,sell,41.56019018293474,567.7100219726562
2024-07-02,ORCL,sell,160.69506590835627,140.2899932861328
2024-07-02,PYPL,sell,371.04845407186144,58.65639877319336
2024-07-02,TGT,sell,158.93975731855994,135.79322814941406
2024-07-02,TSLA,buy,97.24544679457762,231.2599945068359
2024-07-02,JPM,buy,112.33086427443946,200.2030487060547
2024-07-02,LOW,buy,109.33101870988804,205.69625854492188
2024-07-02,AXP,buy,97.39258451842878,230.91061401367188
2024-07-02,PEP,buy,145.8547222140817,153.4169921875
2024-07-10,TSLA,sell,97.24544679457762,263.260009765625
2024-07-10,JPM,sell,112.33086427443946,200.31947326660156
2024-07-10,LOW,sell,109.33101870988804,212.47259521484375
2024-07-10,AXP,sell,97.39258451842878,234.5035858154297
2024-07-10,EOG,buy,197.1453589690097,118.23723602294922
2024-07-10,NOW,buy,156.83187494763646,148.6300048828125
2024-07-10,CMCSA,buy,711.0720339649454,32.78137969970703
2024-07-10,PEP,buy,6.074334660885057,153.42636108398438
2024-07-10,SBUX,buy,334.8514413276787,69.33163452148438
2024-07-17,PEP,sell,151.92905687496676,159.33493041992188
2024-07-17,EOG,sell,197.1453589690097,124.87165069580078
2024-07-17,NOW,sell,156.83187494763646,147.21400451660156
2024-07-17,CMCSA,sell,711.0720339649454,35.548919677734375
2024-07-17,SBUX,sell,334.8514413276787,71.80809783935547
2024-07-17,TSLA,buy,97.57441298616682,248.5
2024-07-17,HON,buy,121.21990330365301,200.0269012451172
2024-07-17,TJX,buy,217.415418653189,111.52494049072266
2024-07-17,NEM,buy,517.4291104148848,46.860992431640625
2024-07-17,T,buy,1362.2195620761338,17.71084976196289
2024-07-24,TSLA,sell,97.57441298616682,215.9900054931641
2024-07-24,HON,sell,121.21990330365301,194.06814575195312
2024-07-24,TJX,sell,217.415418653189,108.86328887939452
2024-07-24,NEM,sell,517.4291104148848,46.30763244628906
2024-07-24,T,sell,1362.2195620761338,17.71084976196289
2024-07-24,NKE,buy,340.494226418433,68.34510040283203
2024-07-24,AMD,buy,160.9009977563647,144.6300048828125
2024-07-24,QCOM,buy,133.61923446197846,174.15989685058594
2024-07-24,FCX,buy,538.932699920063,43.17999649047851
2024-07-24,AMAT,buy,113.86149528480196,203.35948181152344
2024-07-31,AMD,sell,160.9009977563647,144.47999572753906
2024-07-31,QCOM,sell,133.61923446197846,174.0444793701172
2024-07-31,FCX,sell,538.932699920063,44.38214874267578
2024-07-31,AMAT,sell,113.86149528480196,208.9424743652344
2024-07-31,NKE,sell,10.584162566728196,71.96953582763672
2024-07-31,RTX,buy,208.7519424872405,113.7401351928711
2024-07-31,TMO,buy,38.94070437480759,609.7340698242188
2024-07-31,SHW,buy,68.70171990330795,345.6023254394531
2024-07-31,DHR,buy,86.25308966204618,274.1762390136719
2024-08-07,NKE,sell,329.9100638517048,69.81603240966797
2024-08-07,RTX,sell,208.7519424872405,110.50674438476562
2024-08-07,TMO,sell,38.94070437480759,583.916748046875
2024-08-07,SHW,sell,68.70171990330795,334.6766052246094
2024-08-07,DHR,sell,86.25308966204618,260.5505676269531
2024-08-07,QCOM,buy,152.2432618147291,150.1620330810547
2024-08-07,KLAC,buy,33.24103068864903,687.7391357421875
2024-08-07,NVDA,buy,231.24235770688048,98.8623275756836
2024-08-07,AVGO,buy,170.6486965582093,133.96620178222656
2024-08-07,AMAT,buy,129.41318707600828,175.76963806152344
2024-08-14,QCOM,sell,152.2432618147291,160.77110290527344
2024-08-14,KLAC,sell,33.24103068864903,782.5335083007812
2024-08-14,NVDA,sell,231.24235770688048,118.02310180664062
2024-08-14,AVGO,sell,170.6486965582093,155.02407836914062
2024-08-14,AMAT,sell,129.41318707600828,198.5347442626953
2024-08-14,KO,buy,398.4631928696857,65.21463012695312
2024-08-14,DUK,buy,243.8680133703858,106.55612182617188
2024-08-14,PM,buy,236.80232497911555,109.73553466796876
2024-08-14,UNH,buy,46.631701920633155,557.25244140625
2024-08-14,MCD,buy,99.2899056129597,260.40679931640625
2024-08-21,DUK,sell,243.8680133703858,106.85778045654295
2024-08-21,UNH,sell,46.631701920633155,555.7142944335938
2024-08-21,MCD,sell,99.2899056129597,278.2314453125
2024-08-21,LMT,buy,50.13835561090735,528.8002319335938
2024-08-21,KO,buy,2.3040306552408083,66.15604400634766
2024-08-21,MRK,buy,242.37196107618604,109.39043426513672
2024-08-21,FCX,buy,614.0432609119578,42.89655303955078
2024-08-21,PM,sell,0.8301725201630745,112.35721588134766
2024-08-28,PM,sell,235.97215245895248,114.7635269165039
2024-08-28,MRK,sell,242.37196107618604,110.68205261230467
2024-08-28,FCX,sell,614.0432609119578,42.87700271606445
2024-08-28,RTX,buy,229.02155105514223,117.6092300415039
2024-08-28,KO,sell,5.993408206813456,68.22906494140625
2024-08-28,INTC,buy,1373.5363306561046,19.61000061035156
2024-08-28,LMT,sell,0.12521142974024713,538.5593872070312
2024-08-28,LRCX,buy,339.06960906375605,79.2000503540039
2024-09-05,LMT,sell,50.0131441811671,545.9890747070312
2024-09-05,RTX,sell,229.02155105514223,116.44129943847656
2024-09-05,INTC,sell,1373.5363306561046,19.399999618530273
2024-09-05,LRCX,sell,339.06960906375605,74.36114501953125
2024-09-05,PM,buy,226.18338790511578,117.2072982788086
2024-09-05,MO,buy,553.2799044813452,47.914886474609375
2024-09-05,JNJ,buy,167.81309479849284,157.9754180908203
2024-09-05,KO,sell,3.058168566361985,67.67752075195312
2024-09-05,KMB,buy,191.19240840391012,138.10357666015625
2024-09-12,KO,sell,391.7156467517511,67.73458862304688
2024-09-12,PM,sell,226.18338790511578,116.71105194091795
2024-09-12,MO,sell,553.2799044813452,46.47576141357422
2024-09-12,JNJ,sell,167.81309479849284,157.6403045654297
2024-09-12,KMB,sell,191.19240840391012,133.91806030273438
2024-09-12,ORCL,buy,164.96835974610696,158.4584197998047
2024-09-12,INTC,buy,1350.2388831721803,19.36000061035156
2024-09-12,GILD,buy,330.7582378569211,79.03242492675781
2024-09-12,VZ,buy,668.1050799264522,39.12651824951172
2024-09-12,IBM,buy,127.80884741265916,203.50694274902344
2024-09-19,ORCL,sell,164.96835974610696,164.5559844970703
2024-09-19,GILD,sell,330.7582378569211,80.48088073730469
2024-09-19,VZ,sell,668.1050799264522,39.1978874206543
2024-09-19,IBM,sell,127.80884741265916,205.6996154785156
2024-09-19,INTC,sell,75.03702247077376,21.13999938964844
2024-09-19,ABNB,buy,209.38071112160227,128.75
2024-09-19,META,buy,48.44885568811337,556.4169921875
